session_id,rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
H2_walk_fast_20251205_052105,1,91,0.875,2.54,0,133,1.279
H2_walk_fast_20251205_052105,2,175,1.683,3.5,133,272,1.337
H2_walk_fast_20251205_052105,3,370,3.558,6.4,272,514,2.327
H2_walk_fast_20251205_052105,4,659,6.337,8.51,514,795,2.702
H2_walk_fast_20251205_052105,5,931,8.952,8.58,795,981,1.788
H2_walk_fast_20251205_052105,6,1032,9.923,10.48,981,1128,1.413
H2_walk_fast_20251205_052105,7,1224,11.769,9.81,1128,1287,1.529
H2_walk_fast_20251205_052105,8,1351,12.99,14.29,1287,1577,2.788
H2_walk_fast_20251205_052105,9,1804,17.346,15.54,1577,2007,4.135
H2_walk_fast_20251205_052105,10,2211,21.26,14.86,2007,2443,4.192
H2_walk_fast_20251205_052105,11,2676,25.731,15.06,2443,2875,4.154
H2_walk_fast_20251205_052105,12,3075,29.567,11.69,2875,3207,3.192
H2_walk_fast_20251205_052105,13,3340,32.115,11.75,3207,3474,2.567
H2_walk_fast_20251205_052105,14,3609,34.702,10.62,3474,3639,1.587
