Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ,AccX_butter,AccX_kalman,AccY_butter,AccY_kalman,AccZ_butter,AccZ_kalman,GyroX_butter,GyroX_kalman,GyroY_butter,GyroY_kalman,GyroZ_butter,GyroZ_kalman,MagnX_butter,MagnX_kalman,MagnY_butter,MagnY_kalman,MagnZ_butter,MagnZ_kalman
9465.0,9.124,-1.773,-1.773,9.622,1.187,-3.099,22.89,-39.83,14.42,9.090242970953236,9.124,-1.7685108582659872,-1.773,-1.8274687040615802,-1.773,9.592805390135512,9.622,1.1733061110366767,1.187,-3.1265788172826126,-3.099,23.292586050380653,22.89,-39.57002897642067,-39.83,14.215182288075983,14.42
,9.007,-0.608,-1.943,9.462,0.972,-3.02,31.78,-41.23,11.41,9.154517077789349,9.066865364725881,-1.3904448739643829,-1.2040952983389075,-2.1062246962353686,-1.8560161367230779,9.52346746748474,9.543867165437103,1.0008966669760815,1.0820090035561074,-3.1566281846631044,-3.06042191293457,21.252446484426997,27.231255620400955,-39.26396840980812,-40.513662302425345,13.234515409598833,12.950126049785503
,9.222,0.644,-2.379,9.222,0.574,-2.915,36.19,-43.05,10.78,9.218712790834335,9.117905864615286,-1.0252548718790322,-0.5960575915830831,-2.3719799668997683,-2.0280818896001174,9.459626793573625,9.437970368162484,0.8360798692380089,0.9148700958324634,-3.179199716586159,-3.0125769741306803,19.207104919554723,30.178752101171778,-38.97990149890486,-41.34813710390218,12.274091193632714,12.236137724687412
,9.45,1.149,-2.816,9.311,0.376,-3.245,34.09,-43.61,10.57,9.280696873551266,9.200494216718205,-0.6862603639253563,-0.16207994651995344,-2.6156549087602983,-2.2240289160496753,9.403858541047857,9.406394160228873,0.6840644113512285,0.7808587163156623,-3.1924052807950205,-3.070378159553856,17.165804617928558,31.151438710816418,-38.699602791651415,-41.91063884472651,11.342353733251896,11.82178662842661
9540.0,9.588,0.246,-3.408,9.33,0.469,-3.522,16.59,-40.32,7.35,9.338585428941867,9.278166298260205,-0.3844934683447104,-0.08028395727479928,-2.8295164084262554,-2.4613453705220074,9.358175353454197,9.39108163149091,0.5491841477549327,0.7183494153237886,-3.1953152191495993,-3.160901733473711,15.146868450339477,28.23272806516681,-38.40546612075404,-41.591809461058645,10.44657961048157,10.925456842842495
,9.691,0.352,-3.405,9.373,0.483,-3.546,15.33,-38.64,8.96,9.390808104603778,9.347670330705759,-0.12787758094859705,-0.0075053104116674235,-3.007768385975185,-2.620217579133442,9.32384207198694,9.388037436463913,0.43461233696764334,0.6787263580739306,-3.1881512536506587,-3.225736271687454,13.180052186855379,26.06044507010564,-38.08161830152719,-41.094847464763525,9.592406842941369,10.594555621358976
,9.5,0.476,-3.317,9.313,0.5,-3.472,13.51,-36.68,10.71,9.436119033180333,9.369843574549016,0.07915949872994968,0.06287415799352507,-3.1469875973388572,-2.7216418558035746,9.301244378068615,9.377114919637114,0.34217000968358036,0.6527107884403115,-3.1723783901477143,-3.261582641753919,11.306017779373123,24.23359098337276,-37.71436787403892,-40.45221829199287,8.783614739405623,10.611359809077628
,9.289,0.361,-3.396,9.22,0.426,-3.439,10.29,-36.05,11.2,9.473554589090437,9.359448177966092,0.23564129445339893,0.10120913237539499,-3.2463624863846774,-2.8083552450488245,9.28982041972455,9.35691205369714,0.2722391340718267,0.6235588296283541,-3.1506670256466838,-3.2843961282919794,9.573267526762292,22.440632682470895,-37.29213613800339,-39.88615221630098,8.022101060677652,10.687051022181718
9616.0,9.373,-0.055,-3.372,9.174,-0.692,-3.226,-3.85,-34.37,8.82,9.502350387706302,9.361013459033254,0.3436392053166838,0.08316645170757289,-3.307715565357635,-2.8734581117572677,9.288061069633546,9.3357850957212,0.22378463530701584,0.4716073559739435,-3.1267103221159167,-3.277651178883533,8.033393661566128,19.40397610015992,-36.805169999100826,-39.249018065176955,7.307924922797649,10.471400343687446
,9.493,-0.627,-3.343,9.155,-0.105,-3.049,-5.53,-34.09,7.63,9.521840590211111,9.374891594313663,0.40762674875537896,0.0084937917816688,-3.335312816660968,-2.922829553702196,9.293583009662152,9.316775884655256,0.19448750203367418,0.41097818248949025,-3.104901532545054,-3.25360893965726,6.735753484067165,16.78221564745054,-36.24539487208681,-38.70655706803148,6.639271460984905,10.17263246882184
