Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ,AccX_corr,AccY_corr,AccZ_corr,GyroX_corr,GyroY_corr,GyroZ_corr,AccNorm,GyroNorm,AccNorm_filt,GyroNorm_filt,KneeAngle_acc_deg,KneeAngle_gyro_deg,KneeAngle_fused_deg,KneeAngle_fused_filt_deg,KneeValgus_acc_deg,KneeValgus_filt_deg
50610.0,-9.222,-0.751,-3.63,-9.258,-0.651,-3.532,1.89,1.33,0.77,-0.051221153846153555,-0.05388076923076923,0.09381923076923071,-0.0901519230769221,0.044767307692307634,0.19322307692307694,0.11970293211263,0.21786839726795243,0.12480187191024769,0.18868851656393085,-0.0,-0.0,-0.0,0.2486312065357811,0.0,26.74240617052121
,-9.201,-0.756,-3.62,-9.277,-0.577,-3.539,2.31,1.47,0.84,-0.030221153846154536,-0.058880769230769237,0.1038192307692305,-0.10915192307692223,0.1187673076923077,0.18622307692307682,0.1231206554665576,0.24637136616613511,0.1215373461952447,0.18238485124314135,11.1255054303125,0.001049537721893483,0.2214815616387946,0.2625310971737004,-1.8188474635558372,27.09627528672522
,-9.21,-0.723,-3.625,-9.179,-0.627,-3.623,3.01,1.54,0.98,-0.03922115384615488,-0.025880769230769207,0.0988192307692306,-0.011151923076923254,0.06876730769230766,0.10222307692307675,0.10942281980840436,0.12370475112615277,0.11831630356021916,0.1776848289879378,4.330285983269761,0.0011567677514792835,0.3035525646424199,0.2727139572897674,13.070145348513977,28.0895581974847
,-9.246,-0.656,-3.551,-9.217,-0.677,-3.711,3.22,1.75,0.91,-0.07522115384615446,0.04111923076923074,0.17281923076923045,-0.04915192307692351,0.01876730769230761,0.014223076923077116,0.19291319200269488,0.05450155316444957,0.12278862036641702,0.17651723950950593,2.384840844637438,0.0016293823964497018,0.3447151678902493,0.3032375663245942,39.05837784945538,30.28670857982234
50685.0,-9.225,-0.785,-3.702,-9.253,-0.605,-3.477,1.89,1.47,0.7,-0.05422115384615367,-0.08788076923076926,0.021819230769230646,-0.0851519230769231,0.09076730769230767,0.2482230769230771,0.10554165981431658,0.27767652055326564,0.12820332556813724,0.17040594076520296,-5.578881761804382,0.0024481508875739623,0.2254408361750548,0.3507447017161999,-29.621974676245543,29.683212041795755
,-9.198,-0.761,-3.802,-9.244,-0.646,-3.451,3.08,1.33,0.7,-0.027221153846154422,-0.06388076923076924,-0.07818076923076944,-0.07615192307692276,0.04976730769230764,0.2742230769230769,0.10456565675089326,0.2889190132552964,0.13566039873035204,0.16608892072253964,10.24510138120182,0.003180380917159758,0.4251164616465962,0.39696777123478344,-10.90429219137421,30.0413021482331
,-9.208,-0.648,-3.661,-9.234,-0.687,-3.479,3.43,1.61,0.77,-0.03722115384615421,0.04911923076923075,0.06281923076923057,-0.06615192307692297,0.008767307692307602,0.24622307692307688,0.08800209588093837,0.25510536297854297,0.13906952918873158,0.16475404802279375,0.31305162832077826,0.0038164571005917095,0.42225181032031656,0.44044562496080586,60.68005887081615,30.54151989457719
,-9.215,-0.634,-3.527,-9.234,-0.68,-3.534,3.08,1.61,0.84,-0.04422115384615388,0.06311923076923076,0.19681923076923047,-0.06615192307692297,0.01576730769230761,0.19122307692307716,0.21137019028466672,0.20295553716656298,0.1438909677925593,0.16057843334558267,13.258334950938917,0.004452533284023661,0.6783501184729255,0.4751540967950204,44.12612657539723,31.314921667440863
50760.0,-9.22,-0.656,-3.606,-9.232,-0.694,-3.613,2.03,1.75,0.77,-0.049221153846154664,0.04111923076923074,0.11781923076923073,-0.0641519230769223,0.001767307692307707,0.11222307692307698,0.1341450120729553,0.12927726638906586,0.15264489743096643,0.15480650397429774,3.8084086286705627,0.005069378698224838,0.7403467801709612,0.5015769991392004,44.6015575552145,31.373310052209508
,-9.217,-0.682,-3.69,-9.206,-0.684,-3.644,2.31,1.82,0.7,-0.04622115384615455,0.015119230769230718,0.03381923076923066,-0.0381519230769225,0.011767307692307605,0.08122307692307684,0.059234504908419874,0.09050539757188468,0.15723589336961546,0.15309674638833207,-25.954272665181435,0.0054362241124260155,0.2060948827579956,0.528879060794207,41.53945164017962,32.241665817739744
