rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
1,116,1.115,11.7,0,206,1.981
2,296,2.846,18.99,206,393,1.798
3,491,4.721,21.31,393,575,1.75
4,659,6.337,26.92,575,757,1.75
5,855,8.221,30.12,757,953,1.885
6,1051,10.106,30.13,953,1158,1.971
7,1265,12.163,29.73,1158,1383,2.163
8,1501,14.433,27.93,1383,1607,2.154
9,1713,16.471,24.86,1607,1815,2.0
10,1918,18.442,21.98,1815,2023,2.0
11,2128,20.462,19.65,2023,2167,1.385
12,2206,21.212,17.87,2167,2302,1.298
13,2399,23.067,15.8,2302,2510,2.0
14,2621,25.202,14.09,2510,2728,2.096
15,2836,27.269,12.89,2728,2882,1.481
16,2928,28.154,12.32,2882,2983,0.971
17,3038,29.212,11.86,2983,3099,1.115
18,3160,30.385,11.82,3099,3211,1.077
19,3263,31.375,11.45,3211,3307,0.923
20,3351,32.221,11.39,3307,3447,1.346
21,3543,34.067,11.38,3447,3639,1.846
