rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
1,1166,11.212,16.62,251,3639,32.577
2,1369,13.163,16.71,251,3639,32.577
3,1604,15.423,18.08,398,3639,31.163
4,1820,17.5,18.83,403,3639,31.115
5,1940,18.654,18.22,399,3639,31.154
6,2064,19.846,20.09,411,3639,31.038
7,2289,22.01,18.55,401,3639,31.135
8,2415,23.221,18.33,400,3639,31.144
9,2537,24.394,19.27,406,3639,31.087
10,2788,26.808,17.56,393,3639,31.212
11,3039,29.221,16.12,249,3639,32.596
12,3275,31.49,16.08,249,3639,32.596
