rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
1,227,2.183,12.07,0,336,3.231
2,445,4.279,14.65,336,481,1.394
3,517,4.971,15.96,481,588,1.029
4,660,6.346,19.87,588,771,1.76
5,882,8.481,23.89,771,968,1.894
6,1055,10.144,27.41,968,1168,1.923
7,1282,12.327,28.78,1168,1311,1.375
8,1340,12.885,28.52,1311,1421,1.058
9,1502,14.442,29.94,1421,1535,1.096
10,1569,15.087,29.37,1535,1661,1.212
11,1754,16.865,29.71,1661,1806,1.394
12,1859,17.875,29.03,1806,1889,0.798
13,1919,18.452,28.47,1889,2030,1.356
14,2142,20.596,25.7,2030,2254,2.154
15,2366,22.75,21.99,2254,2393,1.337
16,2420,23.269,20.68,2393,2480,0.837
17,2540,24.423,19.49,2480,2575,0.913
18,2610,25.096,18.79,2575,2670,0.913
19,2730,26.25,18.55,2670,2764,0.904
20,2799,26.913,16.76,2764,2825,0.587
21,2852,27.423,16.89,2825,2933,1.038
22,3015,28.99,15.99,2933,3084,1.452
23,3153,30.317,14.34,3084,3203,1.144
24,3253,31.279,13.26,3203,3326,1.183
25,3400,32.692,12.99,3326,3429,0.99
26,3458,33.25,12.76,3429,3494,0.625
27,3531,33.952,12.76,3494,3572,0.75
28,3614,34.75,13.05,3572,3639,0.644
