rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
1,146,1.404,13.91,0,217,2.087
2,289,2.779,17.52,217,416,1.913
3,544,5.231,20.44,416,658,2.327
4,773,7.433,20.53,658,1014,3.423
5,1255,12.067,13.13,1014,1368,3.404
6,1482,14.25,2.92,1368,1536,1.615
7,1591,15.298,3.82,1536,1869,3.202
8,2148,20.654,3.93,1869,2640,7.413
9,3132,30.115,1.89,2640,3312,6.462
10,3492,33.577,2.25,3312,3639,3.144
