session_id,rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
H2_lateral_right_left_20251205_022543,1,307,2.952,6.75,0,366,3.519
H2_lateral_right_left_20251205_022543,2,426,4.096,4.62,366,465,0.952
H2_lateral_right_left_20251205_022543,3,505,4.856,3.2,465,563,0.942
H2_lateral_right_left_20251205_022543,4,621,5.971,4.12,563,686,1.183
H2_lateral_right_left_20251205_022543,5,752,7.231,5.0,686,839,1.471
H2_lateral_right_left_20251205_022543,6,927,8.913,4.59,839,1002,1.567
H2_lateral_right_left_20251205_022543,7,1077,10.356,3.52,1002,1123,1.163
H2_lateral_right_left_20251205_022543,8,1170,11.25,2.94,1123,1256,1.279
H2_lateral_right_left_20251205_022543,9,1343,12.913,2.03,1256,1438,1.75
H2_lateral_right_left_20251205_022543,10,1534,14.75,3.52,1438,1597,1.529
H2_lateral_right_left_20251205_022543,11,1661,15.971,4.52,1597,1723,1.212
H2_lateral_right_left_20251205_022543,12,1785,17.163,4.16,1723,1829,1.019
H2_lateral_right_left_20251205_022543,13,1873,18.01,3.04,1829,1946,1.125
H2_lateral_right_left_20251205_022543,14,2020,19.423,3.17,1946,2092,1.404
H2_lateral_right_left_20251205_022543,15,2165,20.817,2.88,2092,2260,1.615
H2_lateral_right_left_20251205_022543,16,2355,22.644,4.62,2260,2399,1.337
H2_lateral_right_left_20251205_022543,17,2444,23.5,5.3,2399,2487,0.846
H2_lateral_right_left_20251205_022543,18,2531,24.337,6.91,2487,2581,0.904
H2_lateral_right_left_20251205_022543,19,2631,25.298,7.86,2581,2690,1.048
H2_lateral_right_left_20251205_022543,20,2750,26.442,8.8,2690,2840,1.442
H2_lateral_right_left_20251205_022543,21,2930,28.173,6.58,2840,3009,1.625
H2_lateral_right_left_20251205_022543,22,3088,29.692,7.63,3009,3276,2.567
H2_lateral_right_left_20251205_022543,23,3465,33.317,5.87,3276,3512,2.269
H2_lateral_right_left_20251205_022543,24,3560,34.231,3.55,3512,3639,1.221
