session_id,rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
H2_lateral_right_left_fast_20251205_023317,1,116,1.115,0.74,0,157,1.51
H2_lateral_right_left_fast_20251205_023317,2,198,1.904,1.76,157,259,0.981
H2_lateral_right_left_fast_20251205_023317,3,320,3.077,1.65,259,371,1.077
H2_lateral_right_left_fast_20251205_023317,4,423,4.067,1.59,371,470,0.952
H2_lateral_right_left_fast_20251205_023317,5,517,4.971,1.81,470,654,1.769
H2_lateral_right_left_fast_20251205_023317,6,791,7.606,1.5,654,898,2.346
H2_lateral_right_left_fast_20251205_023317,7,1005,9.663,1.25,898,1057,1.529
H2_lateral_right_left_fast_20251205_023317,8,1110,10.673,2.01,1057,1155,0.942
H2_lateral_right_left_fast_20251205_023317,9,1201,11.548,0.88,1155,1260,1.01
H2_lateral_right_left_fast_20251205_023317,10,1319,12.683,0.74,1260,1392,1.269
H2_lateral_right_left_fast_20251205_023317,11,1465,14.087,0.63,1392,1503,1.067
H2_lateral_right_left_fast_20251205_023317,12,1541,14.817,1.89,1503,1698,1.875
H2_lateral_right_left_fast_20251205_023317,13,1855,17.837,2.29,1698,1951,2.433
H2_lateral_right_left_fast_20251205_023317,14,2048,19.692,0.94,1951,2113,1.558
H2_lateral_right_left_fast_20251205_023317,15,2178,20.942,1.84,2113,2240,1.221
H2_lateral_right_left_fast_20251205_023317,16,2303,22.144,1.65,2240,2358,1.135
H2_lateral_right_left_fast_20251205_023317,17,2414,23.212,3.99,2358,2467,1.048
H2_lateral_right_left_fast_20251205_023317,18,2520,24.231,4.83,2467,2558,0.875
H2_lateral_right_left_fast_20251205_023317,19,2597,24.971,5.81,2558,2651,0.894
H2_lateral_right_left_fast_20251205_023317,20,2705,26.01,6.4,2651,2753,0.981
H2_lateral_right_left_fast_20251205_023317,21,2801,26.933,6.81,2753,2892,1.337
H2_lateral_right_left_fast_20251205_023317,22,2984,28.692,7.06,2892,3042,1.442
H2_lateral_right_left_fast_20251205_023317,23,3101,29.817,7.61,3042,3180,1.327
H2_lateral_right_left_fast_20251205_023317,24,3259,31.337,6.8,3180,3335,1.49
H2_lateral_right_left_fast_20251205_023317,25,3411,32.798,6.58,3335,3462,1.221
H2_lateral_right_left_fast_20251205_023317,26,3514,33.788,7.55,3462,3639,1.702
