Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ
,9.945,-0.802,1.61,9.84,-0.653,1.445,-11.41,2.73,31.71
1514.0,10.041,-0.778,1.644,9.873,-0.637,1.519,-6.65,-0.21,-5.46
,9.986,-0.677,1.675,9.727,-0.632,1.508,-0.07,2.38,-8.26
,9.969,-0.591,1.63,9.722,-0.723,1.646,3.99,2.52,-9.45
,10.026,-0.668,1.575,9.581,-0.622,1.701,7.42,3.85,-9.94
1590.0,9.794,-0.687,1.735,9.567,-0.445,1.364,12.53,-0.42,0.21
,9.677,-0.627,1.749,9.72,-0.383,1.397,14.07,1.19,1.12
,9.653,-0.507,1.448,9.672,-0.278,1.242,13.79,-2.52,-0.21
,9.648,-0.39,1.378,9.636,-0.397,1.369,10.64,-3.08,-0.21
1666.0,9.756,-0.646,1.512,9.758,-0.617,1.4,-11.13,-0.98,6.37
,9.916,-0.749,1.668,9.986,-0.818,1.804,-5.88,2.59,4.9
,9.883,-0.684,1.795,9.911,-0.842,1.742,0.91,5.32,2.38
,9.428,-0.5,1.441,9.878,-0.66,1.639,4.9,5.95,0.63
1742.0,9.746,-0.44,1.577,9.758,-0.486,1.407,13.79,4.2,-8.68
,9.682,-0.392,1.424,9.835,-0.345,1.539,10.71,-0.28,-9.38
,9.6,-0.392,1.283,9.593,-0.235,1.383,4.76,-6.51,-8.75
,9.663,-0.512,1.448,9.761,-0.244,1.261,2.38,-8.96,-8.05
1817.0,9.646,-0.302,1.448,10.021,-0.268,1.689,0.98,3.5,-2.66
,9.715,-0.266,1.405,9.976,-0.455,1.687,0.56,5.18,-0.56
,9.636,-0.218,1.395,9.947,-0.512,1.589,-0.91,3.08,1.54
,9.847,-0.306,1.567,9.911,-0.512,1.594,-0.7,1.33,3.15
1893.0,10.031,-0.507,1.697,9.684,-0.347,1.283,0.0,-3.5,0.98
,10.041,-0.541,1.663,9.706,-0.313,1.285,-0.49,-4.27,0.7
,9.954,-0.471,1.603,9.785,-0.366,1.309,0.28,-2.31,0.14
,9.861,-0.414,1.405,9.813,-0.409,1.381,2.87,0.07,0.0
1968.0,9.653,-0.299,1.304,9.78,-0.28,1.63,3.01,2.24,-2.52
,9.749,-0.455,1.318,9.344,-0.297,1.637,5.32,3.99,-1.75
,9.806,-0.464,1.407,9.82,-0.438,1.493,9.73,8.33,-2.24
,9.887,-0.361,1.539,10.055,-0.601,1.833,12.46,11.48,-3.29
2044.0,10.163,-0.467,1.716,9.581,-0.39,1.429,-0.42,-5.39,9.73
,10.01,-0.486,1.68,9.749,-0.397,1.266,-1.19,-5.25,7.07
,9.823,-0.424,1.46,9.73,-0.519,1.383,0.0,-3.64,4.34
,9.813,-0.438,1.4,9.792,-0.483,1.438,0.35,-4.13,2.31
2120.0,9.715,-0.385,1.395,9.758,-0.462,1.558,9.38,3.78,-2.59
,9.751,-0.445,1.374,9.806,-0.371,1.653,11.83,5.53,-3.15
,9.612,-0.495,1.397,9.773,-0.349,1.601,12.25,6.37,-3.01
,9.476,-0.467,1.402,9.813,-0.38,1.493,9.73,6.16,0.35
2196.0,9.854,-0.364,1.541,9.852,-0.378,1.385,8.4,2.17,4.76
,9.703,-0.256,1.493,9.804,-0.23,1.469,7.14,1.4,4.48
,9.722,-0.347,1.4,9.737,-0.29,1.421,4.48,-0.56,3.99
,9.598,-0.325,1.362,9.943,-0.378,1.496,2.73,-1.05,2.8
2271.0,9.73,-0.38,1.481,9.914,-0.522,1.582,-3.78,-6.3,-2.73
,9.739,-0.428,1.374,9.957,-0.605,1.541,-5.04,-6.86,-3.78
,9.813,-0.404,1.376,9.584,-0.404,1.498,-6.44,-4.34,-3.57
,9.998,-0.493,1.476,9.517,-0.246,1.292,-6.86,-3.36,-3.15
2347.0,9.701,-0.342,1.275,9.593,-0.378,1.455,0.0,-1.26,1.47
,9.679,-0.383,1.419,9.708,-0.412,1.405,0.63,0.35,2.17
,9.782,-0.34,1.381,9.816,-0.483,1.417,3.15,1.4,2.1
,9.675,-0.321,1.345,9.871,-0.555,1.381,5.04,0.63,1.54
2423.0,9.854,-0.476,1.385,9.859,-0.404,1.297,10.01,7.63,0.63
,9.765,-0.457,1.393,9.844,-0.445,1.517,9.73,9.94,0.35
,9.665,-0.337,1.335,9.902,-0.474,1.524,9.45,11.34,-0.07
,9.469,-0.249,1.134,9.885,-0.469,1.615,7.49,6.44,0.35
2499.0,9.665,-0.328,1.335,9.856,-0.498,1.393,0.56,1.4,3.5
,9.892,-0.436,1.409,9.567,-0.33,1.314,-2.8,0.14,3.57
,9.943,-0.464,1.519,9.718,-0.388,1.161,-3.57,0.91,2.8
,9.88,-0.505,1.503,9.899,-0.553,1.476,-1.89,2.17,1.26
2575.0,9.978,-0.505,1.62,9.579,-0.421,1.397,-0.21,-1.82,-1.05
,9.887,-0.471,1.519,9.923,-0.426,1.438,1.33,-0.14,-0.84
,9.82,-0.479,1.491,9.878,-0.349,1.524,4.55,2.38,-0.77
,9.758,-0.416,1.431,9.935,-0.287,1.539,6.16,3.43,-1.05
2650.0,9.914,-0.294,1.476,9.825,-0.409,1.491,8.82,1.75,-2.45
,9.926,-0.325,1.397,9.804,-0.33,1.481,7.56,3.64,-3.92
,9.66,-0.28,1.268,9.739,-0.371,1.508,2.73,3.08,-3.64
,9.777,-0.409,1.474,9.763,-0.388,1.412,-2.73,0.63,-0.14
2726.0,9.706,-0.388,1.508,9.572,-0.349,1.429,6.65,3.99,-1.61
,9.653,-0.282,1.33,9.622,-0.371,1.481,4.76,2.1,-0.49
,9.71,-0.335,1.455,9.818,-0.543,1.484,0.49,1.61,1.26
,9.636,-0.359,1.397,9.777,-0.591,1.491,-1.75,0.63,1.89
2801.0,9.916,-0.514,1.441,9.765,-0.299,1.307,6.09,-3.71,-2.52
,9.816,-0.476,1.445,9.775,-0.359,1.393,7.28,-2.17,-2.03
,9.823,-0.433,1.318,9.785,-0.369,1.424,7.14,1.54,0.14
,9.842,-0.452,1.357,9.868,-0.328,1.457,7.91,5.18,1.47
2877.0,9.756,-0.27,1.457,9.756,-0.541,1.491,5.46,5.6,2.87
,9.84,-0.407,1.529,9.782,-0.457,1.426,4.27,5.95,3.08
,9.753,-0.474,1.519,9.636,-0.361,1.385,3.29,4.2,3.43
,9.749,-0.543,1.524,9.694,-0.306,1.409,2.52,1.89,2.8
2953.0,9.758,-0.249,1.426,9.88,-0.246,1.548,10.22,3.22,-3.92
,9.677,-0.225,1.381,9.768,-0.261,1.481,10.85,3.08,-4.83
,9.718,-0.144,1.385,9.899,-0.342,1.625,9.1,1.82,-4.2
,9.715,-0.206,1.414,9.976,-0.388,1.548,5.53,0.21,-2.66
3029.0,9.947,-0.455,1.704,9.643,-0.306,1.385,-4.2,1.75,3.99
,10.124,-0.464,1.658,9.629,-0.275,1.354,-2.8,1.47,3.15
,9.957,-0.436,1.632,9.686,-0.244,1.443,0.7,4.69,2.59
