Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ,AccX_corr,AccY_corr,AccZ_corr,GyroX_corr,GyroY_corr,GyroZ_corr,MagnX_corr,MagnY_corr,MagnZ_corr,AccNorm,GyroNorm,AccNorm_filt,GyroNorm_filt,Roll_raw,Pitch_raw,KneeValgus_fused_deg,KneeAngle_fused_deg,KneeValgus_filt_deg,KneeAngle_fused_filt_deg,Quat_w,Quat_x,Quat_y,Quat_z
61193.0,-9.387,-0.905,-3.082,-9.399,-0.912,-3.108,2.52,1.26,0.7,-0.04108461538461761,0.0894403846153844,0.09652115384615367,-0.053826923076922384,0.08141346153846163,0.07095000000000029,2.52,1.26,0.7,0.1378544927133052,0.12066230508159345,0.13171317123113166,0.12368340785097569,0.0795833781031954,0.03757675306870455,0.0,0.0,0.4889418556030142,0.1748598149558578,0.9999997050545426,0.0006944938687796713,0.0003279232394523569,5.95341701469109e-06
,-9.349,-0.928,-3.144,-9.368,-0.902,-3.101,2.52,1.26,0.7,-0.0030846153846173507,0.06644038461538437,0.034521153846153396,-0.022826923076923578,0.09141346153846164,0.07795000000000041,2.52,1.26,0.7,0.07493697100084186,0.12228528884376752,0.1301447272160632,0.12487387178258555,0.16741871926525057,0.04249916702308158,0.08783534116205516,0.004922413954377029,0.5285138210647604,0.1928292456756591,0.9999988638820914,0.0014609984910301168,0.0003708938154212134,1.2478518763766705e-05
,-9.378,-0.897,-3.132,-9.366,-0.897,-3.082,2.66,1.12,0.63,-0.032084615384617265,0.0974403846153844,0.04652115384615341,-0.02082692307692291,0.09641346153846164,0.09695000000000054,2.66,1.12,0.63,0.11264221612499611,0.13830625000584967,0.12748711815267197,0.12478401157400743,0.2509396805338099,0.07100478119630772,0.17135630243061448,0.03342802812760317,0.5676369251400035,0.21175890299075395,0.9999974100763793,0.0021898462459954194,0.0006196794664465669,2.0280812455395118e-05
,-9.373,-0.914,-3.092,-9.411,-0.905,-3.058,2.73,1.12,0.7,-0.027084615384616484,0.08044038461538439,0.08652115384615344,-0.06582692307692284,0.08841346153846164,0.12095000000000056,2.73,1.12,0.7,0.1212028957181854,0.16364298482668999,0.12659728475264267,0.13327455225661258,0.3338387566902786,0.0999993238279647,0.25425537858708325,0.062422570759260144,0.6062874351207744,0.23161486791197947,0.9999953751564109,0.00291325917880506,0.0008727494778656566,2.9918138586680333e-05
61268.0,-9.423,-0.883,-3.051,-9.414,-0.893,-3.058,2.87,1.4,0.77,-0.0770846153846172,0.11144038461538441,0.12752115384615337,-0.06882692307692295,0.10041346153846165,0.12095000000000056,2.87,1.4,0.77,0.18607160430993624,0.17160685038299875,0.12870068504047727,0.13854866292531928,0.40556238605965145,0.1512600690519357,0.32597900795645607,0.11368331598323114,0.6451322041396035,0.2512703923152082,0.9999928651118137,0.003539131584321365,0.0013201384204721285,3.882840781194554e-05
,-9.392,-0.905,-3.061,-9.385,-0.885,-3.104,2.94,1.47,0.7,-0.04608461538461661,0.0894403846153844,0.11752115384615358,-0.03982692307692304,0.10841346153846165,0.0749500000000003,2.94,1.47,0.7,0.15470809861357365,0.13768502077033176,0.13299405655996854,0.1441133274825067,0.4834873565500505,0.19276518733912565,0.4039039784468551,0.1551884342704211,0.6831862609179145,0.2721760083515887,0.9999896832774128,0.004219118822967185,0.0016823930727568573,4.3916353419166034e-05
,-9.354,-0.916,-3.101,-9.383,-0.928,-3.135,3.01,1.54,0.84,-0.008084615384616356,0.07844038461538438,0.07752115384615355,-0.03782692307692237,0.06541346153846161,0.0439500000000006,3.01,1.54,0.84,0.11057931198088372,0.08741509915289951,0.13318682083155478,0.14689554362044133,0.5708312435182759,0.20216306775826565,0.4912478654150805,0.1645863146895611,0.7214642408727018,0.2927799023744914,0.9999860353695639,0.004981314977204073,0.0017644623036499724,4.732586912584726e-05
,-9.411,-0.878,-3.075,-9.373,-0.936,-3.147,3.08,1.54,0.84,-0.06508461538461674,0.11644038461538442,0.10352115384615335,-0.027826923076922583,0.05741346153846161,0.03195000000000059,3.08,1.54,0.84,0.16885200508960826,0.07135436716668024,0.13543047518071838,0.1435345409559678,0.6474249610089724,0.24585799110189302,0.567841582905777,0.20828123803318846,0.759804790282668,0.3134128398337359,0.9999817369793252,0.0056496761638124655,0.0021458205257283477,4.8180148534099736e-05
61343.0,-9.375,-0.89,-3.151,-9.347,-0.881,-3.137,2.38,1.47,0.63,-0.029084615384617152,0.10444038461538441,0.027521153846153723,-0.0018269230769227818,0.11241346153846166,0.041950000000000376,2.38,1.47,0.63,0.11185313003981692,0.11999969367872662,0.1368625982605163,0.1412423716290447,0.7323365309028819,0.2705170782721271,0.6527531527996865,0.23294032520342256,0.7971673006725132,0.3353321827272853,0.9999767910617693,0.0063906253930074985,0.0023610764130988894,5.062671399117281e-05
,-9.397,-0.866,-3.171,-9.368,-0.914,-3.116,2.52,1.4,0.7,-0.05108461538461739,0.12844038461538443,0.007521153846153705,-0.022826923076923578,0.07941346153846163,0.06295000000000028,2.52,1.4,0.7,0.1384309867201693,0.1038762186002193,0.13834670942042201,0.14026422105670808,0.814013932006036,0.30385917731410633,0.7344305539028406,0.26628242424540177,0.8350764251963553,0.35592362102476977,0.9999712525760239,0.007103333268568988,0.0026521202654495135,5.41858918920324e-05
,-9.407,-0.907,-3.137,-9.359,-0.9,-3.08,2.73,1.4,0.63,-0.06108461538461718,0.08744038461538439,0.04152115384615351,-0.013826923076923237,0.09341346153846164,0.09895000000000032,2.73,1.4,0.63,0.11446028706537875,0.13677851109868416,0.1385448418660131,0.14119797415909527,0.8859982769475296,0.355420056880665,0.8064148988443343,0.31784330381196046,0.8728998834319495,0.3768390347280082,0.999965298462334,0.0077314205455252675,0.0031021724528214494,5.944372671831092e-05
