rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
1,1167,11.221,16.53,1056,1236,1.731
2,1529,14.702,19.7,1286,1622,3.231
3,1801,17.317,18.17,1703,2167,4.462
4,2101,20.202,18.88,1704,2167,4.452
5,2417,23.24,16.55,2339,2467,1.231
6,2737,26.317,17.84,2648,2775,1.221
7,3053,29.356,17.77,2930,3420,4.712
8,3338,32.096,19.05,2932,3419,4.683
