session_id,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ,AccX_corr,GyroX_corr,MagnX_corr,AccY_corr,GyroY_corr,MagnY_corr,AccZ_corr,GyroZ_corr,MagnZ_corr,AccNorm,GyroNorm,AccNorm_filt,GyroNorm_filt
H1_walk_slow_20251205_051431,33015.0,-9.124,-0.723,-3.862,-9.105,-0.866,-3.75,0.98,-0.84,0.49,0.21488076923076882,0.23469615384615317,-1.568942307692308,0.47176538461538475,0.3288192307692309,-2.1533076923076924,-0.7282384615384614,-0.6154288461538462,-0.25051923076923077,0.8939058003897357,0.7361773127664968,0.8167266364607616,0.8199979646968091
H1_walk_slow_20251205_051431,,-9.05,-0.821,-3.812,-9.115,-0.818,-3.745,0.49,-0.77,0.42,0.28888076923076866,0.22469615384615338,-2.058942307692308,0.3737653846153848,0.37681923076923096,-2.0833076923076925,-0.6782384615384611,-0.6104288461538463,-0.3205192307692308,0.8265349794643332,0.751734308414539,0.830910706197855,0.8351354991729372
H1_walk_slow_20251205_051431,,-9.067,-0.857,-3.759,-9.119,-0.84,-3.757,0.42,-0.63,0.42,0.2718807692307692,0.22069615384615382,-2.128942307692308,0.33776538461538475,0.35481923076923094,-1.9433076923076924,-0.6252384615384612,-0.6224288461538463,-0.3205192307692308,0.7608730127352891,0.7496806969440806,0.8461921443916904,0.8444051743443782
H1_walk_slow_20251205_051431,,-9.069,-0.885,-3.716,-9.088,-0.926,-3.798,0.63,-0.42,0.56,0.26988076923076854,0.2516961538461544,-1.918942307692308,0.3097653846153847,0.26881923076923087,-1.7333076923076924,-0.5822384615384615,-0.6634288461538462,-0.1805192307692307,0.7125951509806835,0.7587836098660353,0.8648566877705416,0.8497236174109457
H1_walk_slow_20251205_051431,33090.0,-9.076,-0.905,-3.814,-9.072,-0.94,-3.783,0.7,0.49,0.7,0.26288076923076886,0.2676961538461544,-1.848942307692308,0.2897653846153847,0.25481923076923096,-0.8233076923076925,-0.6802384615384613,-0.6484288461538461,-0.04051923076923081,0.7847258384358675,0.7463605292874582,0.8667695875563988,0.8459915237168226
H1_walk_slow_20251205_051431,,-9.105,-0.861,-3.764,-9.04,-1.0,-3.754,0.98,0.77,0.91,0.23388076923076895,0.29969615384615444,-1.568942307692308,0.33376538461538474,0.1948192307692309,-0.5433076923076925,-0.6302384615384611,-0.6194288461538462,0.16948076923076927,0.7505331868650434,0.7151674019103346,0.8638416583959108,0.8432911617406909
H1_walk_slow_20251205_051431,,-9.119,-0.876,-3.798,-9.095,-0.969,-3.759,0.77,0.91,0.91,0.2198807692307696,0.24469615384615295,-1.7789423076923079,0.31876538461538473,0.22581923076923094,-0.4033076923076925,-0.6642384615384613,-0.6244288461538461,0.16948076923076927,0.7688768801918101,0.7076594637262551,0.8588791720860943,0.8431264268399672
H1_walk_slow_20251205_051431,,-9.119,-0.878,-3.821,-9.139,-0.864,-3.781,0.49,0.84,0.91,0.2198807692307696,0.20069615384615425,-2.058942307692308,0.3167653846153847,0.3308192307692309,-0.47330769230769254,-0.6872384615384615,-0.6464288461538463,0.16948076923076927,0.7880257385300299,0.7533860648798716,0.8553102557030499,0.8416231365748036
H1_walk_slow_20251205_051431,33166.0,-9.112,-0.799,-3.793,-9.05,-0.916,-3.862,0.98,1.75,1.47,0.22688076923076927,0.2896961538461529,-1.568942307692308,0.3957653846153847,0.2788192307692309,0.4366923076923075,-0.6592384615384614,-0.7274288461538463,0.7294807692307692,0.8016860185123016,0.8311538673535217,0.8548460229291049,0.8462029251988671
H1_walk_slow_20251205_051431,,-9.16,-0.766,-3.798,-9.05,-0.883,-3.939,0.56,1.89,1.4,0.17888076923076923,0.2896961538461529,-1.9889423076923078,0.4287653846153847,0.3118192307692309,0.5766923076923074,-0.6642384615384613,-0.8044288461538462,0.6594807692307691,0.8105867124694016,0.910088381837268,0.8555313684100253,0.847728659353417
