session_id,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ,AccX_corr,GyroX_corr,MagnX_corr,AccY_corr,GyroY_corr,MagnY_corr,AccZ_corr,GyroZ_corr,MagnZ_corr,AccNorm,GyroNorm,AccNorm_filt,GyroNorm_filt,KneeAngle_fused_deg,KneeAngle_fused_filt_deg,KneeValgus_fused_deg,KneeValgus_filt_deg
H2_squat_fast_20251205_015325,,-8.918,1.156,-4.669,-8.593,1.886,-5.681,30.8,4.34,5.46,0.3149538461538466,0.6333134615384619,28.20380769230769,-0.3327788461538461,0.3859711538461539,2.9443076923076923,-1.388663461538461,-2.3941230769230772,4.6895961538461535,1.4623008907425883,2.506368883389431,2.1777040755933337,2.340295044071297,-16.563116312557934,-16.579826566662497,-1.8740129018320748,-1.7627157202608599
H2_squat_fast_20251205_015325,,-8.792,1.242,-4.779,-8.311,1.855,-5.796,31.64,3.43,6.3,0.44095384615384603,0.9153134615384619,29.043807692307695,-0.24677884615384604,0.35497115384615396,2.0343076923076926,-1.4986634615384613,-2.5091230769230775,5.529596153846153,1.5815600729334742,2.6943462784290224,2.1926542777699907,2.2500256957860687,-16.565468400816314,-16.57821934029365,-1.858853546116107,-1.7682476324882426
H2_squat_fast_20251205_015325,82900.0,-8.239,1.855,-5.851,-9.026,2.051,-5.133,4.62,3.43,10.22,0.9939538461538451,0.20031346153846208,2.0238076923076926,0.36622115384615395,0.5509711538461541,2.0343076923076926,-2.5706634615384614,-1.8461230769230772,9.449596153846155,2.780354800074504,1.9369731826723915,2.1907647452921477,2.178168225710121,-16.570955385498493,-16.578183528499423,-1.83266271933654,-1.7757004367859737
H2_squat_fast_20251205_015325,,-8.504,1.63,-5.532,-8.763,2.352,-5.676,-3.01,4.83,10.57,0.7289538461538463,0.463313461538462,-5.606192307692307,0.14122115384615386,0.8519711538461539,3.4343076923076925,-2.2516634615384614,-2.3891230769230773,9.799596153846155,2.3709292414881324,2.578453662045353,2.1568162225788408,2.172748495452245,-16.570472461916584,-16.57875772754013,-1.8072858419768958,-1.7869044284196394
H2_squat_fast_20251205_015325,,-8.988,1.596,-5.097,-8.308,2.417,-5.731,-5.39,3.92,9.17,0.2449538461538463,0.918313461538462,-7.986192307692307,0.10722115384615405,0.9169711538461538,2.5243076923076924,-1.8166634615384618,-2.444123076923077,8.399596153846154,1.8362366119502598,2.7672862746338027,2.1608287882329935,2.084915155016939,-16.55833759842125,-16.57930950515851,-1.7772426926425973,-1.7976505188488296
H2_squat_fast_20251205_015325,,-8.988,1.653,-5.126,-8.339,2.271,-5.549,-4.97,3.57,7.0,0.2449538461538463,0.8873134615384615,-7.566192307692307,0.164221153846154,0.7709711538461539,2.1743076923076923,-1.8456634615384617,-2.2621230769230776,6.2295961538461535,1.8690758645315233,2.5492984356952344,2.12705803136525,1.990813597100002,-16.547395230277093,-16.579955703805872,-1.746036467801916,-1.8071555913007726
H2_squat_fast_20251205_015325,82976.0,-8.686,1.852,-5.599,-8.574,1.318,-5.518,-14.7,-5.04,-3.85,0.5469538461538459,0.652313461538462,-17.29619230769231,0.36322115384615405,-0.18202884615384596,-6.435692307692308,-2.3186634615384616,-2.231123076923077,-4.620403846153846,2.4098316049668984,2.331642669303144,2.0489458334865316,1.9179983615162937,-16.551699992027277,-16.580532282018243,-1.7131005515348061,-1.8157106081362504
H2_squat_fast_20251205_015325,,-8.696,1.335,-5.518,-8.536,1.194,-5.317,-15.19,-7.0,-4.76,0.5369538461538461,0.6903134615384623,-17.786192307692307,-0.15377884615384607,-0.30602884615384607,-8.395692307692308,-2.237663461538461,-2.0301230769230774,-5.530403846153846,2.306318523866143,2.1660069338104835,1.9667726268380947,1.8509417456269772,-16.55727207549126,-16.582063875793583,-1.6954443002176374,-1.8232652175128867
H2_squat_fast_20251205_015325,,-8.741,1.079,-5.635,-8.536,0.797,-5.238,-11.76,-8.82,-6.58,0.4919538461538462,0.6903134615384623,-14.356192307692307,-0.4097788461538461,-0.703028846153846,-10.215692307692308,-2.354663461538461,-1.9511230769230776,-7.350403846153847,2.440159278941649,2.1857866993390274,1.8822332411476945,1.8518193976128683,-16.564499302045217,-16.58398007721677,-1.6850847499872972,-1.8315232289780694
H2_squat_fast_20251205_015325,,-8.624,1.144,-5.592,-8.571,0.333,-5.049,-9.1,-8.33,-7.42,0.6089538461538453,0.6553134615384621,-11.696192307692307,-0.34477884615384613,-1.167028846153846,-9.725692307692308,-2.311663461538461,-1.7621230769230776,-8.190403846153846,2.4152608966554148,2.2127968272874834,1.7989441600284195,1.8572938591756947,-16.579331142946,-16.58643451411422,-1.673932786856287,-1.841127579316402
