session_id,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ,AccX_corr,GyroX_corr,MagnX_corr,AccY_corr,GyroY_corr,MagnY_corr,AccZ_corr,GyroZ_corr,MagnZ_corr,AccNorm,GyroNorm,AccNorm_filt,GyroNorm_filt
H1_lateral_point_steps_fast_20251205_022006,,-9.206,-0.026,-4.125,-9.725,1.871,-3.79,8.47,3.99,15.54,0.025344230769231757,-0.49702499999999894,6.024307692307692,0.0018038461538461559,1.9016230769230769,2.6072307692307692,-0.4912865384615386,-0.15251923076923068,14.751692307692307,0.49194313367273623,1.971412258525808,1.374977110700311,1.3652224950948582
H1_lateral_point_steps_fast_20251205_022006,,-9.294,0.558,-3.905,-9.596,-0.156,-3.953,7.21,3.57,14.91,-0.06265576923076921,-0.3680249999999994,4.764307692307693,0.5858038461538462,-0.12537692307692308,2.1872307692307693,-0.2712865384615384,-0.3155192307692305,14.121692307692308,0.6486048701150665,0.5007136491553262,1.3822180350118378,1.4272218477257246
H1_lateral_point_steps_fast_20251205_022006,,-9.426,0.95,-3.922,-8.334,-5.061,-3.51,5.18,3.15,13.86,-0.19465576923076888,0.8939750000000011,2.734307692307692,0.9778038461538461,-5.030376923076923,1.7672307692307692,-0.28828653846153873,0.12748076923076956,13.071692307692308,1.0378344561182256,5.1107861073785426,1.3966844149733697,1.4768120287518842
H1_lateral_point_steps_fast_20251205_022006,58535.0,-10.234,1.036,-3.037,-9.119,-0.553,-3.128,9.73,5.18,7.77,-1.0026557692307687,0.10897500000000093,7.284307692307692,1.0638038461538462,-0.5223769230769231,3.7972307692307687,0.5967134615384615,0.5094807692307692,6.981692307692307,1.5789440046577565,0.7377830674421108,1.4255697920044776,1.4693957820025905
H1_lateral_point_steps_fast_20251205_022006,,-8.689,6.7,-2.553,-9.062,-0.062,-3.338,1.75,0.84,11.76,0.5423442307692312,0.16597500000000132,-0.6956923076923078,6.727803846153846,-0.03137692307692307,-0.5427692307692308,1.0807134615384615,0.2994807692307693,10.971692307692308,6.835599713479542,0.343832725414305,1.4449921680992253,1.46628060559485
H1_lateral_point_steps_fast_20251205_022006,,-9.569,1.831,-2.247,-9.359,-0.165,-3.556,-21.07,0.56,8.12,-0.33765576923076956,-0.13102499999999928,-23.51569230769231,1.858803846153846,-0.1343769230769231,-0.8227692307692307,1.3867134615384615,0.0814807692307693,7.331692307692307,2.343530964460068,0.20460650975728753,1.435960212494123,1.4255070561245233
H1_lateral_point_steps_fast_20251205_022006,,-10.246,-1.735,-2.603,-9.641,-0.625,-3.877,-11.69,2.73,10.29,-1.0146557692307692,-0.4130249999999993,-14.135692307692308,-1.707196153846154,-0.594376923076923,1.3472307692307692,1.0307134615384612,-0.23951923076923043,9.501692307692307,2.2375020173257907,0.7623929690256027,1.4109304754728784,1.3916336013060788
H1_lateral_point_steps_fast_20251205_022006,58611.0,-9.576,-0.632,-4.092,-8.739,-0.572,-4.233,5.25,3.71,3.29,-0.34465576923076924,0.48897499999999994,2.804307692307692,-0.6041961538461539,-0.541376923076923,2.327230769230769,-0.4582865384615382,-0.5955192307692303,2.501692307692308,0.8329868804018449,0.9417158157752328,1.3855801403741272,1.347282085906918
H1_lateral_point_steps_fast_20251205_022006,,-9.052,-0.462,-4.566,-8.765,-0.675,-3.788,5.88,3.64,2.59,0.17934423076923167,0.46297500000000014,3.434307692307692,-0.43419615384615384,-0.6443769230769231,2.2572307692307696,-0.9322865384615384,-0.15051923076923046,1.8016923076923077,1.0439582572697041,0.8076035589634581,1.3575806860649469,1.3181683487362317
H1_lateral_point_steps_fast_20251205_022006,,-8.713,-0.553,-4.561,-8.985,-1.225,-3.465,7.0,3.08,2.66,0.5183442307692321,0.24297500000000127,4.554307692307692,-0.5251961538461539,-1.1943769230769232,1.6972307692307693,-0.9272865384615385,0.1724807692307695,1.871692307692308,1.1850620515392947,1.2309844437514785,1.3647824667058948,1.275704171638369
H1_lateral_point_steps_fast_20251205_022006,,-8.574,-0.596,-4.525,-8.99,-1.467,-3.214,9.52,2.24,2.94,0.6573442307692314,0.2379750000000005,7.074307692307691,-0.5681961538461539,-1.4363769230769232,0.8572307692307695,-0.8912865384615389,0.4234807692307694,2.151692307692308,1.2447248694446122,1.5162937471615499,1.3820039049035648,1.2150375371323465
H1_lateral_point_steps_fast_20251205_022006,58687.0,-8.933,-1.943,-3.065,-9.787,1.653,-3.714,2.24,1.4,0.77,0.29834423076923144,-0.5590250000000001,-0.20569230769230762,-1.915196153846154,1.6836230769230769,0.01723076923076916,0.5687134615384615,-0.07651923076923062,-0.018307692307692247,2.0200050962993745,1.7756550364444228,1.3649913837143872,1.1504017877450197
H1_lateral_point_steps_fast_20251205_022006,,-9.134,-1.663,-3.005,-9.591,1.895,-3.922,5.04,3.08,2.52,0.09734423076923093,-0.3630249999999986,2.594307692307692,-1.635196153846154,1.9256230769230769,1.6972307692307693,0.6287134615384615,-0.2845192307692308,1.7316923076923079,1.7546005179347754,1.9800915579036267,1.3193576785400687,1.0893378941747054
H1_lateral_point_steps_fast_20251205_022006,,-9.782,-0.345,-3.297,-9.519,2.017,-4.092,9.8,4.06,3.29,-0.5506557692307688,-0.2910249999999994,7.354307692307692,-0.3171961538461538,2.047623076923077,2.6772307692307686,0.33671346153846127,-0.4545192307692303,2.501692307692308,0.7191739229026143,2.1175560315873536,1.2848033075037435,1.0481895925232083
H1_lateral_point_steps_fast_20251205_022006,,-9.904,1.106,-3.408,-9.399,1.642,-4.097,10.5,4.83,2.66,-0.6726557692307686,-0.17102499999999843,8.054307692307692,1.1338038461538462,1.6726230769230768,3.447230769230769,0.2257134615384615,-0.45951923076923107,1.871692307692308,1.337506453125504,1.743007582177245,1.270361088281597,0.9914591098567924
