session_id,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ,AccX_corr,GyroX_corr,MagnX_corr,AccY_corr,GyroY_corr,MagnY_corr,AccZ_corr,GyroZ_corr,MagnZ_corr,AccNorm,GyroNorm,AccNorm_filt,GyroNorm_filt,KneeAngle_fused_deg,KneeAngle_fused_filt_deg,KneeValgus_fused_deg,KneeValgus_filt_deg
H2_squat_normal_20251205_014834,111225.0,-9.696,0.215,-3.02,-9.316,0.778,-3.022,10.08,3.15,-0.56,-0.3308288461538478,0.048407692307691264,7.4889230769230775,-0.5323423076923078,0.029328846153846122,1.7254999999999998,0.13848653846153836,0.14174038461538485,-1.3641923076923077,0.6418836182219617,0.15262313888198378,0.58812707352018,0.6396083658528411,-13.457743657608667,-13.553840019791766,20.40638430809005,20.467055675709194
H2_squat_normal_20251205_014834,,-9.392,0.134,-3.25,-9.567,0.467,-2.812,12.6,1.82,-0.56,-0.026828846153847508,-0.20259230769230818,10.008923076923077,-0.6133423076923078,-0.2816711538461539,0.39549999999999996,-0.09151346153846163,0.3517403846153848,-1.3641923076923077,0.6207119195198557,0.49406839629194804,0.6471131622179109,0.6496682320910853,-13.44159300247876,-13.53153199207562,20.310865034656715,20.42597761949622
H2_squat_normal_20251205_014834,,-9.167,0.416,-3.527,-9.775,-0.079,-2.809,15.4,2.17,-0.49,0.19817115384615214,-0.41059230769230837,12.808923076923078,-0.3313423076923078,-0.8276711538461539,0.7454999999999998,-0.36851346153846176,0.3547403846153845,-1.2941923076923076,0.5337243693318102,0.9896799091232427,0.6838613304895739,0.6599693923690576,-13.457181867663612,-13.512261223499289,20.250058148244303,20.383351834659145
H2_squat_normal_20251205_014834,,-8.978,0.696,-3.352,-9.289,-0.067,-3.159,14.98,4.06,-0.28,0.3871711538461522,0.07540769230769229,12.388923076923078,-0.051342307692307854,-0.8156711538461539,2.6354999999999995,-0.1935134615384615,0.004740384615384841,-1.0841923076923077,0.4358726817848649,0.8191631232680029,0.7103428731681601,0.6573363405138759,-13.509012387945257,-13.496583783899638,20.22597899431577,20.34037791324669
H2_squat_normal_20251205_014834,111301.0,-9.318,0.369,-3.068,-9.639,1.189,-2.936,16.03,3.29,0.91,0.047171153846152336,-0.27459230769230736,13.438923076923079,-0.3783423076923078,0.44032884615384615,1.8655,0.09048653846153831,0.2277403846153847,0.10580769230769238,0.39186200783932823,0.566706371045648,0.7161849811063673,0.7101449753131159,-13.498530285242037,-13.485330201468843,20.118081441076043,20.30072302644459
H2_squat_normal_20251205_014834,,-8.942,1.323,-3.173,-9.332,0.519,-3.422,17.71,6.23,0.14,0.4231711538461518,0.03240769230769125,15.118923076923078,0.5756576923076921,-0.22967115384615389,4.8055,-0.01451346153846167,-0.2582596153846155,-0.6641923076923076,0.7146091552214605,0.34712696001368604,0.7145274365681765,0.7729423142672004,-13.527368540454395,-13.479418796509608,20.17171445605427,20.256187185854554
H2_squat_normal_20251205_014834,,-9.081,1.965,-2.91,-9.249,0.055,-3.494,12.67,10.15,-0.7,0.28417115384615244,0.11540769230769143,10.078923076923077,1.2176576923076923,-0.6936711538461539,8.7255,0.24848653846153823,-0.33025961538461557,-1.5041923076923076,1.2748290317179578,0.7768976886798129,0.7325480261156212,0.8165359628833138,-13.524253989672836,-13.477244287458596,20.250660687499433,20.21080210311524
H2_squat_normal_20251205_014834,,-9.385,1.953,-2.824,-8.945,-0.036,-3.427,2.8,12.67,-1.12,-0.019828846153847834,0.4194076923076917,0.20892307692307677,1.2056576923076923,-0.7846711538461539,11.2455,0.33448653846153853,-0.2632596153846154,-1.9241923076923078,1.251353226939734,0.9278562696547206,0.7892895835250016,0.8258391066910425,-13.4947064890262,-13.473171568067176,20.335330590824743,20.16572286493073
H2_squat_normal_20251205_014834,111376.0,-9.146,0.438,-2.869,-8.988,0.964,-3.077,-10.57,19.81,-2.59,0.21917115384615116,0.37640769230769244,-13.161076923076923,-0.3093423076923078,0.21532884615384607,18.3855,0.28948653846153816,0.08674038461538469,-3.3941923076923075,0.47700221588279784,0.44223653980372774,0.7868009105722087,0.8050409363071643,-13.520702246028781,-13.469298118832151,20.23276908845444,20.1131239138269
H2_squat_normal_20251205_014834,,-9.421,0.392,-2.517,-9.306,1.338,-3.005,-10.29,19.95,-1.54,-0.05582884615384742,0.05840769230769283,-12.881076923076922,-0.3553423076923078,0.5893288461538462,18.5255,0.6414865384615385,0.15874038461538476,-2.3441923076923077,0.7354522382359928,0.6131218941919903,0.7854392080822551,0.8005352183487732,-13.481307855701878,-13.465336338241602,20.127978629467155,20.060879724930377
H2_squat_normal_20251205_014834,,-9.679,0.323,-2.455,-9.392,1.151,-3.271,-8.54,17.01,-0.56,-0.3138288461538483,-0.02759230769230747,-11.131076923076922,-0.4243423076923078,0.4023288461538461,15.585500000000001,0.7034865384615383,-0.10725961538461526,-1.3641923076923077,0.8794590658879391,0.4172942139351177,0.7844859911279277,0.8124111688491246,-13.415670618781153,-13.462016316613408,20.03696758749256,20.01503027867853
H2_squat_normal_20251205_014834,,-9.332,0.455,-2.852,-9.387,0.335,-3.759,-4.62,14.7,-1.19,0.03317115384615121,-0.022592307692308466,-7.211076923076924,-0.2923423076923078,-0.4136711538461539,13.2755,0.3064865384615385,-0.5952596153846152,-1.9941923076923076,0.42485097219199713,0.7252366824693249,0.7898925508443713,0.8389582015586068,-13.404634482556556,-13.459989084153134,19.927571882252842,19.976076277117155
H2_squat_normal_20251205_014834,111452.0,-9.227,-0.428,-4.279,-8.949,0.558,-4.097,-2.38,10.08,-2.59,0.13817115384615164,0.41540769230769214,-4.971076923076923,-1.1753423076923077,-0.19067115384615385,8.6555,-1.1205134615384615,-0.9332596153846158,-3.3941923076923075,1.6297457548634884,1.0391787860831585,0.8123919607983108,0.8584444843132258,-13.3913040986363,-13.459386910665366,19.870435310620476,19.93937371894541
H2_squat_normal_20251205_014834,,-9.363,-0.672,-4.164,-9.217,0.814,-4.027,5.04,9.03,-1.96,0.002171153846152407,0.14740769230769146,2.448923076923077,-1.419342307692308,0.06532884615384604,7.605499999999999,-1.0055134615384613,-0.8632596153846155,-2.7641923076923076,1.7394236463982569,0.8781879351512786,0.8245148720466394,0.8687244846573097,-13.370644660736954,-13.459453583367093,19.802134903941507,19.904504602849734
H2_squat_normal_20251205_014834,,-9.363,-0.424,-4.037,-9.234,1.106,-3.865,13.3,6.86,-1.05,0.002171153846152407,0.130407692307692,10.708923076923078,-1.1713423076923077,0.3573288461538462,5.4355,-0.8785134615384615,-0.7012596153846156,-1.8541923076923077,1.4641835328275121,0.7977813727306722,0.8534230995521578,0.8894512149335679,-13.347871780874279,-13.46162321486226,19.734630579805792,19.871029094712792
H2_squat_normal_20251205_014834,,-9.0,0.074,-3.874,-9.016,1.314,-3.46,20.65,5.88,-0.21,0.36517115384615195,0.348407692307692,18.058923076923076,-0.6733423076923079,0.5653288461538462,4.4555,-0.7155134615384617,-0.2962596153846153,-1.0141923076923076,1.0481886035311032,0.7271549931484007,0.8756622978245977,0.9094393158229163,-13.347461821105018,-13.464226808091977,19.680353197919654,19.83874466043591
H2_squat_normal_20251205_014834,111528.0,-9.287,1.184,-3.187,-9.392,-1.271,-3.563,8.89,9.24,-0.56,0.07817115384615114,-0.02759230769230747,6.298923076923078,0.43665769230769214,-2.019671153846154,7.8155,-0.02851346153846146,-0.3992596153846155,-1.3641923076923077,0.4445151145169567,2.0589417538141075,0.8982167804539677,0.9270931905321576,-13.352546636209421,-13.46572067258668,19.750341390572064,19.810772200474318
H2_squat_normal_20251205_014834,,-9.158,0.778,-2.974,-9.368,-1.251,-3.218,4.13,9.1,-0.63,0.20717115384615248,-0.0035923076923083386,1.5389230769230768,0.03065769230769222,-1.9996711538461538,7.6754999999999995,0.18448653846153817,-0.05425961538461532,-1.4341923076923075,0.2790968719944742,2.0004103914098854,0.9319527917786173,0.9510057715387163,-13.458912457311115,-13.4647556884527,19.716616121017292,19.78483142394329
H2_squat_normal_20251205_014834,,-9.165,0.141,-3.041,-8.799,-0.639,-3.52,1.26,8.75,-0.35,0.2001711538461528,0.5654076923076925,-1.331076923076923,-0.6063423076923078,-1.387671153846154,7.3255,0.11748653846153845,-0.35625961538461537,-1.1541923076923077,0.6492476966839451,1.5402071299962938,0.9712474739997281,0.9944250324859092,-13.478254901818147,-13.46365606473635,19.622731451248328,19.763756704057265
H2_squat_normal_20251205_014834,,-9.32,-0.835,-3.314,-8.825,0.067,-3.23,1.19,7.56,0.0,0.04517115384615167,0.5394076923076927,-1.401076923076923,-1.5823423076923078,-0.681671153846154,6.1354999999999995,-0.15551346153846168,-0.06625961538461533,-0.8041923076923077,1.590607446409228,0.871795020138091,0.9920974100480422,1.0497369696897096,-13.469661647757324,-13.461182173204262,19.534000294577694,19.740633741576303
H2_squat_normal_20251205_014834,111604.0,-9.306,0.596,-2.948,-9.146,1.003,-3.29,19.25,10.78,5.25,0.05917115384615279,0.2184076923076912,16.658923076923077,-0.15134230769230783,0.254328846153846,9.3555,0.21048653846153842,-0.1262596153846154,4.445807692307692,0.2659140884169903,0.35822698463709957,1.0090365734618978,1.0830276982778475,-13.469751661875454,-13.458353374433006,19.424243735515773,19.712872298467865
H2_squat_normal_20251205_014834,,-9.265,0.986,-2.886,-9.057,0.653,-3.766,17.15,9.8,4.76,0.10017115384615138,0.3074076923076916,14.558923076923076,0.23865769230769218,-0.09567115384615388,8.3755,0.27248653846153825,-0.6022596153846154,3.955807692307692,0.3758199938843778,0.6829122222448648,1.0129103314739631,1.1054135507645577,-13.47176219460338,-13.456372776674515,19.52215121501619,19.680626122209244
H2_squat_normal_20251205_014834,,-9.033,1.228,-3.099,-9.05,0.302,-4.173,13.93,10.85,3.29,0.3321711538461525,0.3144076923076913,11.338923076923077,0.4806576923076922,-0.4466711538461539,9.4255,0.059486538461538174,-1.0092596153846154,2.4858076923076924,0.5872888053421217,1.1475941303033945,1.0419284037014713,1.1512495066313164,-13.500576320653108,-13.453397561409291,19.586070032323658,19.652145363338736
H2_squat_normal_20251205_014834,,-9.112,1.237,-3.068,-8.949,0.242,-4.413,9.52,12.46,1.82,0.25317115384615185,0.41540769230769214,6.928923076923077,0.4896576923076923,-0.5066711538461539,11.0355,0.09048653846153831,-1.2492596153846156,1.0158076923076924,0.558612658663083,1.4106483600100745,1.0722257592537305,1.1957755145054585,-13.518427303150673,-13.452012809231093,19.660421200089402,19.628198999308093
H2_squat_normal_20251205_014834,111680.0,-9.074,0.304,-4.231,-8.988,0.144,-3.862,2.17,14.98,1.33,0.2911711538461521,0.37640769230769244,-0.4210769230769231,-0.4433423076923078,-0.6046711538461539,13.5555,-1.0725134615384615,-0.6982596153846155,0.5258076923076924,1.196502472961612,0.9974349330152382,1.1008484482107792,1.2426874020587664,-13.518722098241264,-13.453236532098456,19.62944013486172,19.607064391330905
H2_squat_normal_20251205_014834,,-9.026,0.124,-4.159,-8.832,0.692,-3.764,1.68,15.33,2.03,0.33917115384615215,0.5324076923076912,-0.9110769230769231,-0.6233423076923078,-0.056671153846153954,13.9055,-1.0005134615384614,-0.6002596153846151,1.2258076923076922,1.2266294839437768,0.8043514010482867,1.1349499422533742,1.2639437917520193,-13.517190161411897,-13.454770921180009,19.589189258155212,19.589289309656024
H2_squat_normal_20251205_014834,,-8.942,-0.139,-4.147,-9.033,1.216,-3.551,0.7,15.26,3.22,0.4231711538461518,0.3314076923076925,-1.891076923076923,-0.8863423076923078,0.46732884615384607,13.8355,-0.9885134615384619,-0.3872596153846155,2.4158076923076925,1.3934975333654385,0.691518126064701,1.1282258096339608,1.2802895599208992,-13.514154076483013,-13.456901798889065,19.536021096529627,19.573108208787954
H2_squat_normal_20251205_014834,,-8.976,-0.146,-3.857,-9.203,1.644,-3.611,1.47,15.47,3.92,0.3891711538461511,0.16140769230769259,-1.121076923076923,-0.8933423076923078,0.895328846153846,14.0455,-0.6985134615384618,-0.44725961538461556,3.1158076923076923,1.1989310746032928,1.013759019415002,1.1173850778517036,1.3193578863610935,-13.509286426451322,-13.459983990829526,19.47146974345771,19.558953612676177
H2_squat_normal_20251205_014834,111755.0,-9.153,1.632,-3.812,-8.763,0.682,-4.48,-4.76,18.27,1.19,0.21217115384615148,0.6014076923076921,-7.351076923076922,0.8846576923076921,-0.06667115384615385,16.8455,-0.6535134615384615,-1.3162596153846158,0.3858076923076923,1.1201409176954302,1.4486806515635176,1.1355045791339973,1.3417567241453636,-13.496022344525903,-13.463955935422074,19.522774189242927,19.545438445623486
H2_squat_normal_20251205_014834,,-9.155,1.374,-4.293,-8.729,0.45,-4.422,-8.61,16.8,0.49,0.2101711538461526,0.6354076923076928,-11.201076923076922,0.6266576923076923,-0.2986711538461539,15.3755,-1.1345134615384618,-1.258259615384615,-0.31419230769230766,1.3130089762257562,1.4408902294385302,1.1792588472095726,1.3833340398887348,-13.4839228004618,-13.468070843260623,19.551518804509133,19.532464083069012
H2_squat_normal_20251205_014834,,-9.277,1.187,-4.499,-8.708,-0.029,-4.52,-10.08,16.94,0.14,0.0881711538461527,0.6564076923076918,-12.671076923076923,0.43965769230769225,-0.7776711538461539,15.515500000000001,-1.3405134615384613,-1.356259615384615,-0.6641923076923076,1.4135237455882073,1.6956071556726637,1.2419460842586572,1.4044166094237593,-13.46994006861689,-13.472032741826668,19.570138724039246,19.516016042326726
H2_squat_normal_20251205_014834,,-9.22,0.814,-4.405,-8.887,-0.342,-4.494,-10.5,16.73,-0.56,0.1451711538461513,0.47740769230769153,-13.091076923076923,0.06665769230769214,-1.090671153846154,15.3055,-1.2465134615384619,-1.3302596153846151,-1.3641923076923077,1.2567074924776285,1.7852373273125006,1.3071846428604361,1.4154368058353577,-13.463047360620127,-13.471832875463544,19.570517431549305,19.500483227827246
H2_squat_normal_20251205_014834,111831.0,-8.997,-0.187,-4.549,-8.89,1.127,-4.69,1.54,11.27,-1.89,0.36817115384615207,0.4744076923076914,-1.051076923076923,-0.9343423076923079,0.3783288461538461,9.8455,-1.390513461538462,-1.5262596153846157,-2.6941923076923073,1.7152472804782026,1.642456631971391,1.3507256111069894,1.411505350622452,-13.450705221620211,-13.470983588570887,19.52886316668005,19.48774585476619
H2_squat_normal_20251205_014834,,-8.997,0.225,-4.35,-9.074,0.962,-4.63,4.76,12.18,-1.61,0.36817115384615207,0.29040769230769214,2.1689230769230767,-0.5223423076923078,0.21332884615384606,10.7555,-1.1915134615384613,-1.4662596153846152,-2.414192307692308,1.3520709352534352,1.5098884343091878,1.34243969177486,1.4537291779883392,-13.44321094730539,-13.46990252375061,19.49693000810063,19.478041296875283
