session_id,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ,AccX_corr,GyroX_corr,MagnX_corr,AccY_corr,GyroY_corr,MagnY_corr,AccZ_corr,GyroZ_corr,MagnZ_corr,AccNorm,GyroNorm,AccNorm_filt,GyroNorm_filt
H2_squat_deep_20251205_020157,,-7.428,0.275,-4.793,-8.832,1.259,-4.592,6.86,9.1,3.22,1.5251769230769225,0.12119038461538345,4.2520961538461535,-1.2091923076923075,-0.22404615384615378,7.688557692307692,-0.8094903846153843,-0.6174942307692306,2.409076923076923,2.107981348696757,0.6679692458562466,1.705207935383047,1.6833818462523806
H2_squat_deep_20251205_020157,,-7.612,0.905,-4.379,-8.945,0.658,-4.896,8.61,13.58,3.5,1.3411769230769224,0.008190384615383905,6.0020961538461535,-0.5791923076923076,-0.8250461538461537,12.168557692307692,-0.39549038461538366,-0.9214942307692309,2.689076923076923,1.513483370442915,1.2368992908549408,1.7177393730320463,1.7095496118776232
H2_squat_deep_20251205_020157,111977.0,-9.021,0.235,-5.171,-8.311,1.579,-5.729,-2.45,19.88,3.29,-0.06782307692307832,0.6421903846153842,-5.057903846153847,-1.2491923076923075,0.09595384615384628,18.46855769230769,-1.1874903846153844,-1.754494230769231,2.479076923076923,1.7248810987760694,1.8707927828828845,1.7484890907308281,1.721838091520651
H2_squat_deep_20251205_020157,,-9.009,0.342,-5.372,-8.1,1.563,-5.568,2.31,18.06,5.6,-0.05582307692307786,0.8531903846153845,-0.29790384615384635,-1.1421923076923075,0.07995384615384626,16.64855769230769,-1.388490384615384,-1.5934942307692306,4.789076923076923,1.798784320544855,1.809295529594257,1.7736203052940689,1.7300452276300204
H2_squat_deep_20251205_020157,,-8.878,0.761,-5.458,-7.801,1.816,-5.863,7.21,17.64,6.23,0.07517692307692236,1.152190384615384,4.602096153846153,-0.7231923076923076,0.3329538461538464,16.228557692307692,-1.4744903846153843,-1.8884942307692314,5.419076923076924,1.6440135577275092,2.237143581828725,1.8021094087112177,1.7390535666475229
H2_squat_deep_20251205_020157,,-8.516,1.194,-5.633,-7.82,2.151,-5.748,9.17,17.78,5.88,0.43717692307692246,1.133190384615384,6.562096153846154,-0.29019230769230764,0.6679538461538461,16.368557692307693,-1.649490384615384,-1.7734942307692312,5.069076923076923,1.730940139477215,2.2080680639301464,1.8229230981649247,1.7517183858866048
H2_squat_deep_20251205_020157,112052.0,-8.153,2.228,-5.568,-7.679,0.766,-6.253,7.07,9.45,0.91,0.800176923076922,1.274190384615384,4.462096153846154,0.7438076923076926,-0.7170461538461537,8.038557692307691,-1.5844903846153837,-2.278494230769231,0.09907692307692306,1.9246149667659638,2.7072591827604042,1.8209460192945555,1.778437460180753
H2_squat_deep_20251205_020157,,-8.526,1.768,-5.654,-7.93,1.17,-6.377,4.34,8.33,0.07,0.4271769230769227,1.0231903846153845,1.7320961538461535,0.2838076923076924,-0.31304615384615375,6.918557692307693,-1.670490384615384,-2.4024942307692307,-0.740923076923077,1.7474452938260867,2.629999046860414,1.8272683664039286,1.7967037003641881
H2_squat_deep_20251205_020157,,-8.299,0.94,-5.86,-8.306,1.551,-6.423,4.2,5.32,-0.63,0.654176923076923,0.647190384615385,1.5920961538461538,-0.5441923076923076,0.06795384615384625,3.908557692307693,-1.8764903846153844,-2.448494230769231,-1.440923076923077,2.06041473446291,2.53349503991145,1.8244053176241182,1.8198113397866882
H2_squat_deep_20251205_020157,,-7.765,0.651,-6.269,-8.181,1.74,-6.327,8.12,3.5,-1.12,1.1881769230769228,0.772190384615385,5.512096153846153,-0.8331923076923076,0.2569538461538463,2.0885576923076927,-2.2854903846153842,-2.352494230769231,-1.9309230769230772,2.707293874018769,2.4892835063423826,1.8264977465774785,1.8359124350840799
