rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
1,198,1.904,33.06,64,3639,34.375
2,365,3.51,28.59,60,3639,34.413
3,522,5.019,32.69,64,3639,34.375
4,688,6.615,31.67,63,3639,34.385
5,948,9.115,31.52,63,3639,34.385
6,1121,10.779,32.39,64,3639,34.375
7,1296,12.462,30.62,62,3639,34.394
8,1487,14.298,30.16,62,3639,34.394
9,1660,15.962,32.33,64,3639,34.375
10,1833,17.625,32.11,63,3639,34.385
11,2105,20.24,34.36,65,3639,34.365
12,2288,22.0,33.71,65,3639,34.365
13,2547,24.49,31.71,63,3639,34.385
14,2728,26.231,35.16,66,3639,34.356
15,2901,27.894,31.87,63,3639,34.385
16,3161,30.394,34.41,65,3639,34.365
17,3425,32.933,30.89,62,3639,34.394
18,3603,34.644,31.98,63,3639,34.385
