rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
1,240,2.308,18.47,184,310,1.212
2,437,4.202,21.59,382,497,1.106
3,668,6.423,17.26,612,722,1.058
4,906,8.712,25.53,845,965,1.154
5,1144,11.0,27.35,1072,1218,1.404
6,1391,13.375,28.95,1312,1464,1.462
7,1628,15.654,15.9,1566,1738,1.654
8,1902,18.288,25.45,1845,1974,1.24
9,2147,20.644,23.11,2080,2229,1.433
10,2414,23.212,15.27,2315,2491,1.692
11,2936,28.231,30.53,2848,3014,1.596
