rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
1,230,2.212,53.92,98,1340,11.942
2,479,4.606,54.55,99,1338,11.913
3,730,7.019,52.1,97,1346,12.01
4,972,9.346,54.17,98,1339,11.933
5,1227,11.798,54.7,99,1338,11.913
6,1495,14.375,53.05,1359,1602,2.337
7,1766,16.981,53.51,1639,1886,2.375
8,2049,19.702,55.13,1913,2160,2.375
9,2325,22.356,54.63,2179,2430,2.413
10,2600,25.0,54.81,2462,2701,2.298
11,2881,27.702,55.83,2733,2973,2.308
12,3165,30.433,55.12,3024,3265,2.317
13,3452,33.192,55.41,3301,3555,2.442
