rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
1,228,2.192,25.07,124,501,3.625
2,460,4.423,27.86,127,500,3.587
3,677,6.51,20.64,593,715,1.173
4,925,8.894,21.53,833,976,1.375
5,1177,11.317,21.94,1096,1292,1.885
6,1500,14.423,25.46,1353,1611,2.481
7,1821,17.51,26.56,1669,2187,4.981
8,2082,20.019,26.98,1669,2187,4.981
9,2435,23.413,23.55,2313,2479,1.596
10,2699,25.952,22.06,2608,2772,1.577
11,2994,28.788,22.75,2892,3067,1.683
12,3306,31.788,24.85,3183,3639,4.385
13,3621,34.817,24.48,3182,3639,4.394
