rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
1,334,3.212,23.82,204,1147,9.067
2,577,5.548,24.15,212,1146,8.981
3,794,7.635,32.07,696,914,2.096
4,1013,9.74,17.36,84,3130,29.288
5,1313,12.625,31.21,1196,1680,4.654
6,1486,14.288,23.43,1180,2252,10.308
7,1828,17.577,39.51,1703,1926,2.144
8,2103,20.221,34.28,1982,2194,2.038
9,2409,23.163,19.06,88,2535,23.529
10,2631,25.298,22.73,2555,2813,2.481
11,2896,27.846,17.51,84,3130,29.288
12,3008,28.923,17.8,85,3129,29.269
13,3204,30.808,19.3,3159,3639,4.615
14,3502,33.673,17.23,3158,3639,4.625
