rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
1,125,1.202,26.28,71,3639,34.308
2,276,2.654,35.89,76,3639,34.26
3,440,4.231,32.59,74,3639,34.279
4,612,5.885,35.85,76,3639,34.26
5,890,8.558,32.2,74,3639,34.279
6,1075,10.337,34.18,75,3639,34.269
7,1342,12.904,33.86,75,3639,34.269
8,1600,15.385,29.12,73,3639,34.288
9,1714,16.481,32.66,74,3639,34.279
10,1910,18.365,31.91,74,3639,34.279
11,2112,20.308,30.75,73,3639,34.288
12,2217,21.317,33.43,75,3639,34.269
13,2410,23.173,32.55,74,3639,34.279
14,2522,24.25,31.52,74,3639,34.279
15,2725,26.202,32.71,75,3639,34.269
16,2836,27.269,32.41,74,3639,34.279
17,3047,29.298,31.48,74,3639,34.279
18,3338,32.096,33.78,75,3639,34.269
19,3448,33.154,33.49,75,3639,34.269
20,3568,34.308,34.73,76,3639,34.26
