rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
1,219,2.106,37.34,116,296,1.731
2,430,4.135,38.01,317,510,1.856
3,664,6.385,34.52,570,747,1.702
4,915,8.798,33.31,836,995,1.529
5,1116,10.731,33.52,1027,1182,1.49
6,1322,12.712,34.11,1237,1395,1.519
7,1550,14.904,34.09,1462,1624,1.558
8,1772,17.038,31.68,1690,1843,1.471
9,1990,19.135,34.36,1902,2059,1.51
10,2231,21.452,37.82,2132,2307,1.683
11,2428,23.346,33.1,2326,2510,1.769
12,2651,25.49,35.03,2560,2722,1.558
13,2895,27.837,36.45,2800,2973,1.663
14,3124,30.038,33.59,3034,3207,1.663
15,3358,32.288,34.63,3267,3436,1.625
16,3593,34.548,37.84,3487,3639,1.462
