Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ
0.0,-9.062,-0.615,-3.946,-9.074,-0.598,-4.013,2.52,1.12,0.7
,-9.115,-0.565,-3.958,-9.079,-0.615,-4.049,2.59,1.4,0.77
,-9.148,-0.574,-3.967,-9.057,-0.651,-3.989,2.38,1.19,0.7
,-9.146,-0.62,-3.999,-9.098,-0.596,-3.951,2.17,1.12,0.7
76.0,-9.1,-0.548,-3.941,-9.093,-0.562,-3.836,3.57,1.05,0.91
,-9.129,-0.519,-3.903,-9.11,-0.57,-3.879,3.43,0.98,0.84
,-9.086,-0.558,-3.898,-9.139,-0.562,-3.855,3.01,0.91,0.77
,-9.076,-0.526,-3.896,-9.107,-0.555,-3.929,2.87,0.98,0.77
152.0,-9.069,-0.581,-3.903,-9.11,-0.562,-3.838,1.96,1.12,0.63
,-9.074,-0.565,-3.884,-9.1,-0.56,-3.9,2.03,1.33,0.7
,-9.143,-0.56,-3.917,-9.117,-0.503,-3.912,2.03,1.4,0.56
,-9.112,-0.55,-3.86,-9.143,-0.503,-3.989,1.89,1.47,0.63
227.0,-9.062,-0.512,-4.042,-9.05,-0.522,-4.133,1.68,1.61,0.63
,-9.067,-0.543,-4.078,-9.052,-0.567,-4.08,1.82,1.47,0.7
,-9.038,-0.553,-4.104,-9.069,-0.689,-3.991,2.1,1.26,0.77
,-9.043,-0.567,-4.113,-9.079,-0.541,-3.951,2.38,1.12,0.77
302.0,-9.146,-0.579,-3.869,-9.119,-0.574,-3.824,3.57,0.56,1.12
,-9.067,-0.541,-3.769,-9.074,-0.593,-3.922,3.36,0.7,0.91
,-9.143,-0.581,-3.798,-9.103,-0.601,-3.917,3.01,0.91,0.77
,-9.167,-0.55,-3.826,-9.016,-0.641,-3.96,2.8,0.98,0.7
378.0,-9.095,-0.56,-4.022,-9.088,-0.481,-3.908,3.43,1.68,1.05
,-9.11,-0.546,-4.011,-9.131,-0.455,-3.891,3.5,1.4,0.98
,-9.107,-0.519,-3.951,-9.208,-0.471,-3.874,3.36,1.33,0.98
,-9.05,-0.522,-3.979,-9.067,-0.505,-3.855,3.29,1.26,0.91
453.0,-9.119,-0.615,-3.838,-9.028,-0.579,-3.92,1.75,1.4,0.63
,-9.131,-0.577,-3.888,-9.1,-0.555,-3.929,2.03,1.61,0.63
