session_id,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ,AccX_corr,GyroX_corr,MagnX_corr,AccY_corr,GyroY_corr,MagnY_corr,AccZ_corr,GyroZ_corr,MagnZ_corr,AccNorm,GyroNorm,AccNorm_filt,GyroNorm_filt,KneeAngle_fused_deg,KneeAngle_fused_filt_deg,KneeValgus_fused_deg,KneeValgus_filt_deg
H1_squat_fast_20251205_013759,50833.0,-9.311,-0.601,-3.501,-9.344,-0.577,-3.482,2.45,1.19,0.84,0.1676923076923078,0.13638076923077058,-0.06959615384615381,0.198901923076923,0.21930769230769243,-0.20057692307692299,-0.6819826923076926,-0.6621173076923079,0.061249999999999916,0.7299199118191795,0.7107002935605223,0.6681945629015689,0.6494593560630796,0.0,-0.5035820899710491,0.0,0.41395786345292895
H1_squat_fast_20251205_013759,,-9.284,-0.67,-3.534,-9.34,-0.565,-3.439,2.8,1.33,0.91,0.19469230769230705,0.14038076923077014,0.28040384615384584,0.12990192307692294,0.23130769230769244,-0.06057692307692286,-0.7149826923076925,-0.6191173076923078,0.13124999999999998,0.7523163261509053,0.6756598623380736,0.6573530547961007,0.6467549237058862,-0.08942166135839681,-0.5447648884077418,0.06251150874938027,0.4489867003886161
H1_squat_fast_20251205_013759,,-9.256,-0.653,-3.527,-9.337,-0.593,-3.374,3.15,1.26,0.91,0.22269230769230752,0.14338076923077026,0.6304038461538459,0.14690192307692296,0.2033076923076924,-0.13057692307692292,-0.7079826923076928,-0.5541173076923078,0.13124999999999998,0.7565788336427823,0.6074027110746696,0.6462207380937712,0.6524678071838872,-0.179427439971651,-0.586210723920478,0.12457632796272189,0.48380811136518415
H1_squat_fast_20251205_013759,,-9.273,-0.586,-3.534,-9.337,-0.613,-3.429,3.71,1.05,0.91,0.20569230769230806,0.14338076923077026,1.190403846153846,0.21390192307692302,0.1833076923076924,-0.3405769230769229,-0.7149826923076925,-0.6091173076923075,0.13124999999999998,0.7741211845953768,0.6520610781013573,0.6362685167381368,0.6572152353446001,-0.25400519491906803,-0.6266348103635689,0.20540979062213838,0.5198188598809769
H1_squat_fast_20251205_013759,50909.0,-9.296,-0.672,-3.412,-9.265,-0.505,-3.508,1.89,1.05,0.63,0.18269230769230838,0.21538076923076943,-0.6295961538461541,0.12790192307692294,0.2913076923076924,-0.3405769230769229,-0.5929826923076926,-0.6881173076923077,-0.14875000000000005,0.6335328362391297,0.7776596148044344,0.6381034276231198,0.6455018531986985,-0.3414306179016703,-0.667916950325507,0.27070775693755206,0.5546358438056839
H1_squat_fast_20251205_013759,,-9.306,-0.653,-3.436,-9.306,-0.524,-3.467,2.17,0.77,0.63,0.1726923076923086,0.17438076923077084,-0.34959615384615406,0.14690192307692296,0.27230769230769236,-0.6205769230769229,-0.6169826923076926,-0.6471173076923078,-0.14875000000000005,0.6573206605204511,0.7234092492375234,0.6366006885601002,0.6417350895850165,-0.42269069698170425,-0.7094718783662738,0.34382549125845585,0.589224209344371
H1_squat_fast_20251205_013759,,-9.318,-0.708,-3.367,-9.325,-0.546,-3.484,2.38,0.98,0.7,0.16069230769230813,0.1553807692307707,-0.1395961538461541,0.09190192307692302,0.25030769230769234,-0.41057692307692295,-0.5479826923076927,-0.6641173076923077,-0.0787500000000001,0.5784055776749594,0.7265321208670871,0.6320786345397797,0.6330986828193982,-0.5158817551848353,-0.7502308443107022,0.40006399032316975,0.6247447978233076
H1_squat_fast_20251205_013759,,-9.328,-0.603,-3.376,-9.261,-0.68,-3.534,2.94,0.91,0.7,0.15069230769230835,0.21938076923077077,0.42040384615384596,0.196901923076923,0.11630769230769233,-0.4805769230769229,-0.5569826923076926,-0.7141173076923075,-0.0787500000000001,0.6096788158033289,0.7560548461215862,0.6251899700490541,0.6414301453904814,-0.5816263668586895,-0.7894600490638515,0.48976853837554296,0.6616506271617337
H1_squat_fast_20251205_013759,50985.0,-9.296,-0.637,-3.467,-9.354,-0.572,-3.283,1.68,0.35,0.28,0.18269230769230838,0.1263807692307708,-0.839596153846154,0.16290192307692297,0.22430769230769243,-1.040576923076923,-0.6479826923076928,-0.46311730769230763,-0.49875,0.6926724228395605,0.5298713809444092,0.6336340866059083,0.6346933956904793,-0.6616462618476123,-0.8300240923027304,0.5643684070839596,0.6962086622394822
H1_squat_fast_20251205_013759,,-9.287,-0.66,-3.498,-9.325,-0.608,-3.285,2.31,0.14,0.35,0.19169230769230694,0.1553807692307707,-0.20959615384615393,0.13990192307692295,0.1883076923076924,-1.250576923076923,-0.6789826923076929,-0.46511730769230786,-0.4287500000000001,0.719260721409439,0.5252971352900523,0.6254819337635604,0.6184470911775463,-0.7487757749398052,-0.8718247007236178,0.6308670386777762,0.7283784193278319
H1_squat_fast_20251205_013759,,-9.287,-0.699,-3.364,-9.28,-0.648,-3.34,2.87,0.42,0.63,0.19169230769230694,0.20038076923077064,0.3504038461538461,0.10090192307692303,0.14830769230769236,-0.970576923076923,-0.5449826923076926,-0.5201173076923076,-0.14875000000000005,0.5864582455929531,0.5767752058091983,0.6257532867889823,0.6132439138181977,-0.8447882640524393,-0.9139160253473225,0.6841517926955609,0.760399125508658
H1_squat_fast_20251205_013759,,-9.328,-0.577,-3.364,-9.265,-0.668,-3.434,3.22,0.49,0.7,0.15069230769230835,0.21538076923076943,0.7004038461538462,0.22290192307692303,0.12830769230769234,-0.9005769230769229,-0.5449826923076926,-0.6141173076923079,-0.0787500000000001,0.607782505361881,0.6633187825374857,0.6399528661954758,0.6043727020125607,-0.9050949980518201,-0.9570048051204335,0.777642907039821,0.7896290060811446
H1_squat_fast_20251205_013759,51060.0,-9.261,-0.692,-3.355,-9.38,-0.591,-3.285,2.38,0.77,0.63,0.21769230769230852,0.10038076923076922,-0.1395961538461541,0.10790192307692303,0.2053076923076924,-0.6205769230769229,-0.5359826923076927,-0.46511730769230786,-0.14875000000000005,0.5884812760704488,0.5182293481336347,0.6385834516549174,0.6077005130020449,-1.001778137555947,-0.999787537225695,0.8275586751619974,0.81961642669444
