session_id,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ,AccX_corr,GyroX_corr,MagnX_corr,AccY_corr,GyroY_corr,MagnY_corr,AccZ_corr,GyroZ_corr,MagnZ_corr,AccNorm,GyroNorm,AccNorm_filt,GyroNorm_filt,KneeAngle_fused_deg,KneeAngle_fused_filt_deg,KneeValgus_fused_deg,KneeValgus_filt_deg
H1_squat_normal_20251205_013110,,-9.052,-0.768,-4.176,-9.201,-0.191,-4.111,-0.07,10.71,2.24,0.25045961538461725,0.10338076923076933,-2.822211538461538,-0.07650000000000001,0.4967884615384615,9.38175,-0.8078211538461542,-0.7510576923076919,1.554942307692308,0.8492098006617341,0.9064072021663623,0.9469192387295282,1.1471934250864118,-41.7807459975089,-41.86112677055666,4.891335158182503,4.839670659500023
H1_squat_normal_20251205_013110,,-8.978,-0.84,-4.039,-9.232,0.077,-4.212,3.36,12.18,2.17,0.3244596153846171,0.07238076923077053,0.6077884615384619,-0.14849999999999997,0.7647884615384615,10.85175,-0.6708211538461537,-0.8520576923076919,1.4849423076923076,0.7598205791257688,1.1472326170735883,0.9908400524045314,1.1838673327236717,-41.81076565700504,-41.87010193785245,4.904400751937201,4.925156760448944
H1_squat_normal_20251205_013110,66278.0,-8.894,0.287,-4.252,-9.426,-1.05,-3.893,1.54,9.38,0.49,0.4084596153846167,-0.12161923076923031,-1.212211538461538,0.9784999999999999,-0.36221153846153853,8.05175,-0.8838211538461538,-0.533057692307692,-0.19505769230769232,1.3803772453159664,0.6558497840328804,1.0734240887072575,1.206351267267115,-41.8254675045097,-41.879130752673895,5.047436239362349,5.010905845639366
H1_squat_normal_20251205_013110,,-8.643,-0.026,-4.113,-9.083,-1.01,-3.781,-3.57,8.96,-0.91,0.6594596153846162,0.22138076923076966,-6.322211538461538,0.6655,-0.3222115384615385,7.63175,-0.7448211538461544,-0.4210576923076923,-1.5950576923076922,1.1968858698889977,0.5745600932491205,1.1313599210595657,1.2536618374299524,-41.86506412902609,-41.88801678836417,5.172921476759144,5.098058022863151
H1_squat_normal_20251205_013110,,-8.815,-0.397,-4.089,-8.591,-1.07,-3.604,-5.81,8.89,-1.68,0.48745961538461735,0.7133807692307705,-8.562211538461538,0.2945,-0.38221153846153855,7.56175,-0.7208211538461544,-0.24405769230769225,-2.3650576923076922,0.9186567707599071,0.845317655805188,1.2187645116957642,1.3001438375595245,-41.91140876704332,-41.898092575958216,5.2739506442720785,5.1864728534827105
H1_squat_normal_20251205_013110,,-9.184,-0.869,-3.991,-8.777,-0.972,-3.743,-5.95,8.33,-1.54,0.11845961538461758,0.5273807692307706,-8.702211538461539,-0.1775,-0.28421153846153846,7.0017499999999995,-0.6228211538461541,-0.38305769230769204,-2.2250576923076926,0.658365491315672,0.7110835886062963,1.2875820960300617,1.3382052161509885,-41.9262536869977,-41.90915746050363,5.276419387897959,5.267655888194426
H1_squat_normal_20251205_013110,66354.0,-8.89,-0.665,-4.054,-8.993,0.101,-4.025,3.71,9.52,1.19,0.4124596153846163,0.3113807692307695,0.957788461538462,0.026499999999999968,0.7887884615384615,8.191749999999999,-0.6858211538461543,-0.6650576923076925,0.5049423076923076,0.8007345623776309,1.0777044838918468,1.3331949317783702,1.3527721563312687,-41.963563177605266,-41.92005178029653,5.3308110885700195,5.348232014511772
H1_squat_normal_20251205_013110,,-8.957,-0.335,-4.243,-8.985,0.0,-4.075,6.37,9.8,1.4,0.3454596153846161,0.3193807692307704,3.617788461538462,0.3565,0.6877884615384615,8.47175,-0.8748211538461543,-0.7150576923076923,0.7149423076923076,1.0058561761397122,1.0422881304650287,1.376075295288263,1.3913283138891321,-41.98314488662904,-41.930270688869506,5.444528893616015,5.433546055596652
H1_squat_normal_20251205_013110,,-8.94,-0.065,-4.154,-9.134,0.211,-4.247,6.51,11.34,1.4,0.36245961538461735,0.1703807692307695,3.757788461538462,0.6265000000000001,0.8987884615384615,10.01175,-0.7858211538461539,-0.887057692307692,0.7149423076923076,1.0683604769069592,1.2742533714299489,1.4208475451181863,1.378854876720037,-41.99280811489625,-41.93951863575738,5.583020034225654,5.517995613257957
H1_squat_normal_20251205_013110,,-8.928,0.067,-3.963,-9.028,0.481,-4.403,5.18,13.3,0.63,0.37445961538461603,0.2763807692307694,2.4277884615384617,0.7585,1.1687884615384614,11.97175,-0.5948211538461541,-1.0430576923076917,-0.05505769230769231,1.034095961996209,1.5907300672673168,1.4441481294918286,1.3697646207116478,-41.995165688826376,-41.949982947258135,5.733694809434366,5.598941472587911
